id,label,text,gpt-4.1-mini,gpt-3.5-turbo-0125,gpt-5-nano,gpt-5,gpt-5-mini,gpt-4o-mini,gpt-4.1,gpt-4.1-mini_error,gpt-4.1-mini_error_type,gpt-3.5-turbo-0125_error,gpt-3.5-turbo-0125_error_type,gpt-5-nano_error,gpt-5-nano_error_type,gpt-5_error,gpt-5_error_type,gpt-5-mini_error,gpt-5-mini_error_type,gpt-4o-mini_error,gpt-4o-mini_error_type,gpt-4.1_error,gpt-4.1_error_type,error_count
45,ham,Great! I hope you like your man well endowed. I am <#> inches...,spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
56,ham,Do you know what Mallika Sherawat did yesterday? Find out now @ <URL>,spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
738,spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",ham,ham,ham,ham,ham,ham,ham,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,7
1252,ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",spam,spam,spam,spam,,spam,spam,True,FP,True,FP,True,FP,True,FP,True,,True,FP,True,FP,7
1319,ham,"<#> %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to <#> frnds in <#> mins whn u read...",spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
1794,ham,"Say this slowly.? GOD,I LOVE YOU & I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people & u c miracle tomorrow, do it,pls,pls do it...",spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
2241,ham,Tell your friends what you plan to do on Valentines day @ <URL>,spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
2278,ham,"Hi, Mobile no. <#> has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
2391,ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto <#> .Call Ms.Suman <#> for Telephonic interview -via Indyarocks.com,spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
2579,ham,"Feb <#> is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
2643,spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,ham,ham,ham,ham,ham,ham,ham,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,7
2646,ham,Send me your id and password,spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
2817,spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",ham,ham,ham,ham,ham,ham,ham,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,7
2879,ham,Get ready for <#> inches of pleasure...,spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
3121,spam,RCT' THNQ Adrian for U text. Rgds Vatian,ham,ham,ham,ham,ham,ham,ham,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,7
3125,ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name <#> janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra <#> % true.. Don't neglet.,spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
3174,spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,ham,ham,ham,ham,ham,ham,ham,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,7
3576,ham,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited <#> rs and il be getiing <#> rs..i can draw my acc wen it is <#> rs..",spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
3819,spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,ham,ham,ham,ham,ham,ham,ham,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,7
3980,ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
4411,ham,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to <#>,spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
4576,spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",ham,ham,ham,ham,ham,ham,ham,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,7
4972,ham,This is ur face test ( 1 2 3 4 5 6 7 8 9 <#> ) select any number i will tell ur face astrology.... am waiting. quick reply...,spam,spam,spam,spam,spam,spam,spam,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,True,FP,7
4981,spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,ham,ham,ham,ham,ham,ham,ham,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,True,FN,7
