id,label,original_prediction,new_prediction,corrected,error_type
45,ham,spam,spam,False,FP
56,ham,spam,spam,False,FP
738,spam,ham,ham,False,FN
1319,ham,spam,spam,False,FP
1794,ham,spam,spam,False,FP
2241,ham,spam,spam,False,FP
2278,ham,spam,spam,False,FP
2391,ham,spam,spam,False,FP
2579,ham,spam,spam,False,FP
2643,spam,ham,ham,False,FN
2646,ham,spam,spam,False,FP
2817,spam,ham,ham,False,FN
2879,ham,spam,spam,False,FP
3121,spam,ham,ham,False,FN
3125,ham,spam,spam,False,FP
3174,spam,ham,ham,False,FN
3576,ham,spam,spam,False,FP
3819,spam,ham,ham,False,FN
3980,ham,spam,spam,False,FP
4411,ham,spam,spam,False,FP
4576,spam,ham,ham,False,FN
4972,ham,spam,ham,True,FP
4981,spam,ham,ham,False,FN
