id,label,text,prediction
1,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",spam
8,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,spam
45,ham,Great! I hope you like your man well endowed. I am <#> inches...,spam
52,ham,"A gram usually runs like <#> , a half eighth is smarter though and gets you almost a whole second gram for <#>",spam
55,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,ham
56,ham,Do you know what Mallika Sherawat did yesterday? Find out now @ <URL>,spam
67,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",spam
102,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,spam
207,ham,You please give us connection today itself before <DECIMAL> or refund the bill,spam
268,ham,"Come to mu, we're sorting out our narcotics situation",spam
368,ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,spam
404,ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,spam
419,ham,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny <#> .irritating <#> .lovable. reply me..,spam
602,ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,spam
611,ham,Dear we got <#> dollars hi hi,spam
613,ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,spam
701,ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",spam
738,spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",ham
739,spam,You have an important customer service announcement from PREMIER.,ham
794,ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,spam
833,ham,No da if you run that it activate the full version da.,spam
888,ham,WHITE FUDGE OREOS ARE IN STORES,spam
920,ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),spam
935,ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,spam
