id,label,text,prediction_old,prediction_new,prediction_changed,n_models_error,models_with_error,reasoning
1,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Informal, colloquial language and local slang (""la"", ""wat"", ""n"", ""e"") and place names (""jurong point"", ""bugis"", ""great world"") indicate a casual conversational tone rather than a sales pitch.
2. Structural cues: Ellipses and fragmented sentences mimic spoken chat; no phone numbers, links, offers, or marketing phrasing present.
3. Contextual interpretation: The message appears to discuss locations and options (buffet, cinema) — likely arranging or commenting about plans — which is personal/relational in intent.
4. Decision summary: The tone, wording, and context point to an informal personal message, not unsolicited promotion, so it is ham."
8,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,spam,ham,True,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Phrases like ""As per your request"" and ""has been set as your callertune"" indicate a confirmation of a user-initiated service change rather than an unsolicited offer. The message quotes a specific song title, which is informational.
2. Structural cues: The message is a short, formal service notification without promotional language, links, or requests for personal/financial information. It includes a simple action code (""Press *9"") typical of telecom service messages.
3. Contextual interpretation: The intent is to confirm that a callertune was set and to provide an optional action to copy a friend's callertune — a transactional/utility notification from a service provider rather than spam or a scam.
4. Decision summary: The content is a legitimate service confirmation and actionable instruction related to the user's request, so it is classified as ham."
55,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,ham,ham,False,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5-mini']","1. Linguistic cues: The message names sports teams and asks a factual question (""Correct or Incorrect?""), with no promotional language (no offers, prices, links, or calls to buy).
2. Structural cues: Short SMS-style phrasing and an instruction to ""Reply END SPTV"" indicates an interactive quiz/confirmation format rather than marketing copy; punctuation and capitalization are neutral.
3. Contextual interpretation: The purpose appears to be a quick sports trivia/confirmation prompt from a service, not an unsolicited advertisement or fraud attempt.
4. Decision summary: Because the text is informational/interactive about sports and lacks promotional or malicious intent, it is classified as ham."
67,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",spam,spam,False,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Use of imperative forwarding language (""Send this to all ur valuable frnds""), casual shorthand (""u"", ""ur"", ""frnds""), and chain-like phrasing (""Today is 'song dedicated day..'"").
2. Structural cues: Ellipses and informal punctuation create a viral/chain-message tone; explicit call-to-action to forward the message.
3. Contextual interpretation: The message is designed to propagate itself to many recipients (a chain/forward request), not to convey personal or informational content — typical of unsolicited or viral spam.
4. Decision summary: Although not promotional or fraudulent, the primary intent is mass forwarding and propagation, classifying it as spam."
268,ham,"Come to mu, we're sorting out our narcotics situation",spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: <Informal, conversational phrasing (""Come to mu,"" ""we're sorting out""), direct invitation; contains the word ""narcotics"" indicating discussion of drugs but no promotional language.>
2. Structural cues: <Short, single-message format with contractions, no links, offers, prices, or marketing phrasing; looks like a personal text.>
3. Contextual interpretation: <Reads as a private, person-to-person invite to address an issue involving drugs rather than an unsolicited commercial or promotional message.>
4. Decision summary: <Despite referencing illegal activity, the message is a personal invitation and not promotional or fraudulent, so it fits the ""ham"" category.>"
404,ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Phrases like ""Missing U a lot thats y everything is missing"" express personal sentiment and direct address, typical of a personal message rather than an advertisement or scam.
2. Structural cues: The text contains placeholders and metadata (""some text missing"", ""Sender:Name Missing""), and lacks promotional wording, calls to action, prices, or urgent directives commonly found in spam.
3. Contextual interpretation: Although it mentions ""sent via fullonsms.com"" (a third‑party SMS service), the core intent appears emotional/personal rather than commercial or fraudulent.
4. Decision summary: Overall content and tone indicate a personal message conveying emotion, so it should be classified as ham."
832,ham,"I am real, baby! I want to bring out your inner tigress...",spam,spam,False,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']","1. Linguistic cues: Uses highly suggestive, seductive language (""baby"", ""bring out your inner tigress"") typical of solicitation rather than neutral personal content.
2. Structural cues: Short, punchy sentence with an ellipsis and exclamation — common in attention-grabbing promotional or spammy messages designed to entice.
3. Contextual interpretation: The message reads like an unsolicited sexual proposition (possible adult chat or dating solicitation) rather than a benign personal update or genuine conversational message.
4. Decision summary: The combination of erotic phrasing, persuasive tone, and lacking personal context indicates an unsolicited/solicitous intent, so it is classified as spam."
907,ham,K:)i will give my kvb acc details:),spam,ham,True,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']","1. Linguistic cues: First-person phrasing (""i will give my kvb acc details"") and friendly emoticons ("":)"") indicate a personal, casual message rather than marketing language.
2. Structural cues: Informal, short sentence with no promotional keywords, no links, no phone numbers, no offers, and no urgent call-to-action typical of spam.
3. Contextual interpretation: The sender is offering to share personal bank account details (private, transactional/one-to-one communication), which implies a legitimate personal exchange rather than unsolicited advertising or fraud.
4. Decision summary: The content, tone, and structure point to a personal message about sharing private information, so it should be classified as ham."
951,ham,what is your account number?,spam,ham,True,3,"['gpt-5-nano', 'gpt-5', 'gpt-4o-mini']","1. Linguistic cues: The message is a simple, direct question (""what is your account number?"") using conversational language and no promotional wording.
2. Structural cues: Short, lowercase sentence with no links, offers, calls to action, or typical spam punctuation (e.g., excessive symbols or urgent caps).
3. Contextual interpretation: It appears to be a personal/requesting question seeking information rather than trying to sell, advertise, or defraud; there are no clear indicators of unsolicited commercial content.
4. Decision summary: Because the content is a straightforward, non-promotional question without spammy markers, it is classified as ham."
956,ham,Hey you can pay. With salary de. Only <#> .,spam,ham,True,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']","1. Linguistic cues: Informal, conversational language (""Hey you can pay"", ""With salary de"") suggests a personal message rather than marketing copy; no promotional words like ""free"", ""win"", ""offer"", ""buy now"".
2. Structural cues: Short, fragmented sentences and a direct address (""Hey you"") look like a one-to-one request; presence of an amount placeholder (""<#>"") implies a specific personal sum rather than a generic deal.
3. Contextual interpretation: The message appears to be asking or reminding a recipient to make a payment, likely between acquaintances (mention of salary implies personal repayment timing), not soliciting a broad audience.
4. Decision summary: The content reads as a personal payment request/reminder with informal phrasing and no promotional intent, so it is classified as ham."
