id,text
2388,they released another Italian one today and it has a cosign option
3526,I'm not. She lip synced with shangela.
655,Carlos'll be here in a minute if you still need to buy
1085,Ok ill tell the company
2517,"That's what I love to hear :V see you sundayish, then"
2499,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
3605,I'm thinking that chennai forgot to come for auction..
1540,That's my honeymoon outfit. :)
2471,Hi happy birthday. Hi hi hi hi hi hi hi
3265,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love
808,Hahaha..use your brain dear
799,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
66,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
2101,Oh god. I'm gonna Google nearby cliffs now.
2043,Do you know when the result.
4222,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
1891,Howz that persons story
3817,Fyi I'm gonna call you sporadically starting at like <#> bc we are not not doin this shit
3991,<DECIMAL> m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
2592,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?
4828,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
4685,Hey... Very inconvenient for your sis a not huh?
466,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered <#> to my account and <#> dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
2440,I'm done. C ü there.
3312,Staff of placement training in Amrita college.
2313,Huh means computational science... Y they like dat one push here n there...
3132,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it..."
2655,Yeah get the unlimited
4031,He dint tell anything. He is angry on me that why you told to abi.
743,So why didnt you holla?
801,Then why you not responding
654,En chikku nange bakra msg kalstiya..then had tea/coffee?
2858,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
472,"K, can I pick up another 8th when you're done?"
1745,God bless.get good sleep my dear...i will pray!
2874,What is your record for one night? :)
3380,I sent your maga that money yesterday oh.
1455,Ill be there on <#> ok.
4086,Anytime lor...
587,Gud mrng dear have a nice day
1554,When you came to hostel.
562,Do you know where my lab goggles went
2878,"Aight, lemme know what's up"
1860,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
5135,"I'm taking derek & taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
4595,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?"
347,If you're not in my car in an hour and a half I'm going apeshit
585,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
1771,When should I come over?
4054,Boo what time u get out? U were supposed to take me shopping today. :(
1021,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here.."""
2733,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
712,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
4161,"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."
4842,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
590,I'm going out to buy mum's present ar.
1942,"Better than bb. If he wont use it, his wife will or them doctor"
2903,Fine. Do you remember me.
1579,I am going to film 2day da. At 6pm. Sorry da.
1372,Jay is snickering and tells me that x is totally fucking up the chords as we speak
4435,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
3552,"Once a fishrman woke early in d mrng. It was very dark. He waited a while & found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up & he found out tht those r nt stones, those were diamonds. Moral:""Dont wake up early in d mrng'' GOOD night"
5074,Dhoni have luck to win some big title.so we will win:)
3027,No de.am seeing in online shop so that i asked.
1535,There are no other charges after transfer charges and you can withdraw anyhow you like
4950,No. It's not pride. I'm almost <#> years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
1601,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
1558,You all ready for * big day tomorrow?
1169,"Me also da, i feel yesterday night wait til 2day night dear."
788,I dled 3d its very imp
374,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
1184,"Damn, can you make it tonight or do you want to just wait til tomorrow"
3907,Well if I'm that desperate I'll just call armand again
554,Geeeee ... I love you so much I can barely stand it
1733,You bad girl. I can still remember them
4879,Ok... Sweet dreams...
747,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
3409,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold <#> or any bb"
2875,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
5157,Will ü b going to esplanade fr home?
3059,Yup ü not comin :-(
4233,"Hiya, probably coming home * weekend after next"
240,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
1392,"I jus hope its true that missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
3177,No messages on her phone. I'm holding it now
